Channel ID,Username,Public Name,Videos,Relationship,Monetize Uploads,View Revenue,Copyright Strikes,Linked Date,Views,Subscribers
UCLClBkdXDDPXWpUxX3u2ofQ,HiroyasuIchihashi,Hiroyasu Ichihashi,278,AFFILIATED,Yes,Yes,0,Wed Jul 31 15:52:26 PDT 2013,341590,2395
UCFK38AHf8dMg4vwb1nsvKqQ,JessiSmiles,JessiSmiles,202,OWN_AND_OPERATED,Yes,Yes,0,Thu Aug 08 13:28:34 PDT 2013,2575381,69855
UC2mZorVGqET0P6mU929PrEQ,maxjerry781,MAX JR and Jerry Purpdrank,34,OWN_AND_OPERATED,Yes,Yes,0,Mon Nov 04 14:02:11 PST 2013,5976863,77823
UCtZAaljDNIsIAIhwYYzvEiw,ehbeefamily,Eh Bee,56,OWN_AND_OPERATED,Yes,Yes,0,Fri Mar 07 06:14:20 PST 2014,135949,3520
UCZ4oP5JB40o5bf9c0jnM7Fg,SyamuMovie,Syamu_Movie,42,AFFILIATED,Yes,Yes,0,Mon Mar 10 18:36:27 PDT 2014,2537,35
UCTmzGJcsABc_OSml8WE9cdA,WorldGamingShows,WorldGamingShows,98,OWN_AND_OPERATED,Yes,Yes,0,Mon Jul 29 18:27:40 PDT 2013,79002338,130359
UCYCnrwcDfHy2AlgqSHVC2pg,ScumPalace,ScumPalace,11,AFFILIATED,Yes,Yes,0,Fri Aug 02 18:58:44 PDT 2013,1138351,1432
UCAlNhuwfx4X_tglfLohBjig,lightzero1231,ì˜Åë_›,0,AFFILIATED,Yes,Yes,0,Fri Apr 26 09:24:35 PDT 2013,0,11846
UCR9JIKJLwgHVzdBPeHJAF7Q,ttcorimine,ì¿ ë_¬,290,AFFILIATED,Yes,Yes,0,Tue Jul 02 21:58:28 PDT 2013,1202681,11550
UC9Wy0GkieG5bvSDTJLmTzuQ,presentsbyM,Editor-M-,15,AFFILIATED,Yes,Yes,0,Thu Feb 27 01:27:56 PST 2014,2192,218
UCXXTtakfr4tV2-pDDXvb0pA,Radiogamesour,RadioGames Our,0,AFFILIATED,Yes,Yes,0,Tue Jul 09 03:06:32 PDT 2013,0,13173
UCgb-nTu_co2YGMVsEWko32w,KatamoriENG,KatamoriENG,162,AFFILIATED,Yes,Yes,0,Thu Mar 28 13:25:13 PDT 2013,59681,180
UCjeUSUzU1EAho1EHPZrZGOQ,JJAPESIMG,JJAPESIMG,0,AFFILIATED,Yes,Yes,0,Thu Jun 13 16:49:48 PDT 2013,0,0
UCBeQQoM-4mdrcuYDh0JR0-Q,OnYourComputer,OnYourComputer,87,OWN_AND_OPERATED,Yes,Yes,0,Thu Apr 11 18:48:45 PDT 2013,1079291,8269
UCZE-Z8MbJ5Syt_myjJinfdw,vvhyuk,ì__ë°”ìù´ì__,132,AFFILIATED,Yes,Yes,0,Tue Mar 25 20:54:14 PDT 2014,45786,412
UCBEf6WIIYKa0l6m-1A-2Q6w,christiandelgrosso,Christian DelGrosso,3,OWN_AND_OPERATED,Yes,Yes,0,Fri Dec 27 21:14:00 PST 2013,193995,19075
UCifmeAA8OPbTMuE7_03kuxw,TheAlabamaBoss,Alabama Boss,1,OWN_AND_OPERATED,Yes,Yes,0,Tue Feb 04 11:08:51 PST 2014,9771,718
UCUGjrVRRzMsD9zHIy8aF28Q,,Reggie COUZ,1,OWN_AND_OPERATED,Yes,Yes,0,Mon Apr 07 12:08:15 PDT 2014,12045,3448
UCJgSSwMXO0RNAxKksCQW14A,MustSeeVideoGames,MustSeeVideoGames,155,AFFILIATED,Yes,Yes,0,Tue Apr 23 11:14:52 PDT 2013,59980,56
UClkUrNgGC4BD6pWURJbM9MQ,AwesomeDisneyToys,AwesomeDisneyToys,56,OWN_AND_OPERATED,Yes,Yes,0,Thu Dec 12 18:01:25 PST 2013,6575056,17463
UCw4_1SPR88s8ab1gsTh8jig,BrandonCalvillo,Brandon Calvillo,338,AFFILIATED,Yes,Yes,0,Thu Aug 08 13:26:54 PDT 2013,700111,11864
UCFxK1-QmxiiesX8YEV8sBXQ,,Fä_‹å_© å±±æœ¬,87,AFFILIATED,Yes,Yes,0,Tue Jun 18 12:50:42 PDT 2013,17593,28
UCffg8emqZnO3utbalvVHxqQ,joshclark,Josh Clark,155,OWN_AND_OPERATED,Yes,Yes,0,Wed Aug 28 17:16:10 PDT 2013,193315,1667
UCDBCCMlFD-hArPbWv38FINA,Dazblackgames,Daz Games,46,OWN_AND_OPERATED,Yes,Yes,0,Sat Jan 04 02:03:34 PST 2014,374481,24461
UCEosa_eb7wOcNxMURkpELpw,jonpaulpiques,jonpaulpiques,29,OWN_AND_OPERATED,Yes,Yes,0,Wed Jun 12 18:54:54 PDT 2013,183380,312
UCd07rKJ7Q0pg5ths7Pz8k8Q,VineAholic,VineAholic,21,OWN_AND_OPERATED,Yes,Yes,0,Wed Oct 16 18:00:12 PDT 2013,127772,433
UCfq7bHed-DZ6UhllZNsANDw,,Nankuru TV,97,AFFILIATED,Yes,Yes,0,Tue Aug 06 02:54:59 PDT 2013,734197,535
UC0p-6ZayNNCWDEhCkFdNIhw,BarkleyThePom,Barkley The Pom,135,OWN_AND_OPERATED,Yes,Yes,0,Tue Jul 30 11:04:29 PDT 2013,56523,837
UC4gCiPMAPWWBS_epO4UwQow,jaredstradlingtv,Jared Stradling,134,OWN_AND_OPERATED,Yes,Yes,0,Thu Oct 17 19:12:23 PDT 2013,347752,4625
UCCdBDiBl04SN3XGkk_v7z3A,BruceD51,BruceD51,19,AFFILIATED,Yes,Yes,0,Fri May 31 15:58:05 PDT 2013,51403,47
UCgXvsyRDffZK6Ijqe03AZ1g,taka991973,takaãÅ¡ã‚ƒã‚“ãÅ_ã‚‹,144,AFFILIATED,Yes,Yes,0,Wed Sep 18 19:47:11 PDT 2013,898749,2421
UCKex_xnsZRjp4bqa2R3oHNw,gamesforkidsHD,GamesForKids,91,OWN_AND_OPERATED,Yes,Yes,0,Thu Oct 10 16:28:44 PDT 2013,768243,1057
UC02oU-4HOr_bKwxJWmrEkVw,tarutaru4356,tarutaru4356,48,AFFILIATED,Yes,Yes,0,Thu Aug 08 18:44:04 PDT 2013,40886,679
UCsxN0GZ8MHeVbMkXlhrbXGw,BrittanyFurlan,Brittany Furlan,603,OWN_AND_OPERATED,Yes,Yes,0,Mon Jun 10 19:02:42 PDT 2013,13773930,103556
UCHML4Wb0wpUzZs62U4qGQEA,GansuusnaG,08(*â€˜Ï‰â€˜ *),20,AFFILIATED,Yes,Yes,0,Sun Jan 19 03:56:30 PST 2014,36284,405
UClDbuB3bgZYVIaN3534c_ew,bjshery,ì‰êë_¬,662,AFFILIATED,Yes,Yes,0,Sat Feb 08 01:45:25 PST 2014,955209,7545
UCQXDexeLNUpEgNpaxx1WAJw,CollabPartner,CollabPartner,1,AFFILIATED,Yes,No,0,Thu Apr 25 12:17:33 PDT 2013,45,0
UCcQxTBqlfbdp_kLY7UOI4SA,robbyjayala,Robby Ayala,226,OWN_AND_OPERATED,Yes,Yes,0,Tue Aug 20 11:46:21 PDT 2013,594765,15303
UC8sYfdBJaNKrNJGoH527zCw,rydoon,Ry Doon,1,OWN_AND_OPERATED,Yes,Yes,0,Thu Jan 16 09:49:43 PST 2014,10258,875
UCp207INWXuK1fmmnVdX0bfw,dariusjbenson,Darius Benson,11,OWN_AND_OPERATED,Yes,Yes,0,Sun Feb 02 14:18:31 PST 2014,64464,967
UCusFLxchxYL7ojB4wDd7f-w,,fu-----min238ï_ æ¯_é€±åœŸåèˆãÅ¯æ—¥ãÅ¯ãƒ‹ã‚_ç”Ÿã‚„ã‚_ãÅ_ãÅ™1æ™‚ãÅ‹ã‚‰,47,AFFILIATED,Yes,Yes,0,Tue Feb 18 05:50:58 PST 2014,311728,2734
UCmiXyrYBhbnDoWtIAbdrYvg,spotpanda3280,spotpanda3280,204,AFFILIATED,Yes,Yes,0,Sun Mar 02 23:44:38 PST 2014,415600,2092
UCVRBOhW8la6UZE5K5F0vOaw,ManonMathews,Manon Mathews,234,OWN_AND_OPERATED,Yes,Yes,0,Fri Nov 01 11:35:24 PDT 2013,159731,3049
UCpvz8idHO-RHeRpupF18onQ,officialsalehali,Saleh Ali,0,OWN_AND_OPERATED,Yes,Yes,0,Sat Apr 05 23:05:22 PDT 2014,14523,2940
UCF8C0n8MNYyvjfry_CkbTjA,Sobbang2,so young's beauty room â™¥,62,OWN_AND_OPERATED,Yes,Yes,0,Thu Jul 18 18:58:22 PDT 2013,3040869,92757
UCEvSO6WC8lX6bMgHsJmKAWg,NikitonixGameTV,NikitonixGameTV,44,OWN_AND_OPERATED,Yes,Yes,0,Thu May 02 00:08:23 PDT 2013,16535762,10945
UC8blVIVtWOU9r0dj1FPMG9Q,XtremeWineProduction,Most Dangerous Ways,5,OWN_AND_OPERATED,Yes,Yes,0,Thu Jul 11 14:28:43 PDT 2013,636966,665
UCs9jZ5quA845KXq-rr-YhhA,bjbakku,ë_ ê_¸,403,AFFILIATED,Yes,Yes,0,Fri Nov 22 16:12:07 PST 2013,3493890,15846
UCK6PfFskl640_a64gSLLNQA,jordanburtshorts,jordan burt,108,OWN_AND_OPERATED,Yes,Yes,0,Mon Jun 24 14:06:07 PDT 2013,1561078,15599
UCXZaTqDKXHmNfKZ1ywhxe0w,jangjh5409,ì§„í˜¸,211,AFFILIATED,Yes,Yes,0,Fri Jan 17 14:05:07 PST 2014,183549,2404
UCx7ChzXNcnNT-c0DiS_3uPA,YounguruTV,YounguruGamez,11,AFFILIATED,Yes,Yes,0,Fri Mar 22 13:29:09 PDT 2013,424864,727
UCKSoaRtRcm8uIVG4-Mhcqtg,RLch2,RLch,87,AFFILIATED,Yes,Yes,0,Thu Aug 08 18:43:16 PDT 2013,210006,1701
UCO6pYGHqfTTJcEiPfkbEQ2Q,ericvdunn,Eric Dunn,264,OWN_AND_OPERATED,Yes,Yes,0,Wed May 22 08:16:00 PDT 2013,23817179,197492
UCeemF5vg9fKkRSNDQZI1VFg,AllTalkThomasTV,All Talk Thomas TV,2,OWN_AND_OPERATED,Yes,Yes,0,Mon Apr 07 15:42:32 PDT 2014,2574,523
UClGxS6TfycRjQYVqB2MNXow,house5310,YouTubeí•˜ì_°ì__,92,AFFILIATED,Yes,Yes,0,Thu Sep 05 02:21:50 PDT 2013,165090,2045
UCP7LUz8TKiOARTD8LdrVgXQ,TreyNKennedy,Trey Kennedy,11,OWN_AND_OPERATED,Yes,Yes,0,Fri Sep 13 16:18:13 PDT 2013,353301,22543
UCJGkZkJtCvuNK7fc3ZJeQ7g,iamkcjames,Kc James,202,OWN_AND_OPERATED,Yes,Yes,0,Sun Sep 01 09:02:16 PDT 2013,1320587,16111
UCGf3LiXsmvS16-o8YHrdIFQ,itsjessicavanessa,Jessica Vanessa,72,OWN_AND_OPERATED,Yes,Yes,0,Thu Dec 12 16:00:11 PST 2013,1029171,20450
UCr_h42aEKuEMtOwNgMdaYyw,Mrcharlieclassic,Charlie Classic,2,OWN_AND_OPERATED,Yes,Yes,0,Fri Dec 20 15:11:36 PST 2013,2982,704
UCdYZwyosiuZu5w4UiU21AjA,AlcoholicCandy,AlcoholicCandy,0,AFFILIATED,Yes,Yes,0,Mon Apr 01 12:40:05 PDT 2013,0,2
UC9VyAHM4dZ6W0XbrOrtyLIQ,AhernJoey,Joey Ahern and Steel,63,OWN_AND_OPERATED,Yes,Yes,0,Tue Oct 29 13:08:44 PDT 2013,219830,4494
UC1I2sOi6p4EmdgNGo5xcI_g,PlayForGameHD,PlayForGameHD,153,OWN_AND_OPERATED,Yes,Yes,0,Wed Jun 12 06:20:14 PDT 2013,12083208,27349
UC_fIF8nzsrD67pZ9D1iGXoQ,,kaosu jokar VF,144,AFFILIATED,Yes,Yes,0,Tue Sep 10 04:51:09 PDT 2013,79334,131
