Name,Vine Followers,Twitter,Instagram,About,Category,Brand Friendly?,YouTube,Comps,Vine Profile (web)
Alabama Boss,522K,3803,17549,This popular viner has done the southern takeover.  ,Comedy,,https://www.youtube.com/channel/UCifmeAA8OPbTMuE7_03kuxw,,
Amymarie Gaertner,2.3M,43.9K,196190,"Amymarie is a self taught dancer & choreographer.  She is the most popular viner that specializes in dance.  She mostly freestyles to dubstep, but doesnt limit herself to any type of dance.  Her content is very unique which has continued to accelerate her growth in viewership.",Dance,,https://www.youtube.com/amymariexox64,,
Anwar Jibawi,339K,632,26557,Anwar Jibawi ,Comedy,,n/a,,
Austin Miles Geter,1.1M,14.4K,,"Austin is a born physical comedian.  He has quickly gathered over half a million followers from his loud, no-holds-barred approach to Vining.  He hails from Arlington, Texas, where he grew up performing with his hip hop troupe.  He loves the challenge of getting people to laugh in six seconds an the ability to reach such a wide audience through Vine.",Comedy,,http://www.youtube.com/user/AustinMilesGeter,"biweekly, best of the month, themes",
BarkleyThePom,308K,10.2k,36941,"A stylish, well-traveled and adorable Pomeranian.  Vines consist of Barkley displaying cute poses and funny skits.",Animals,,http://www.youtube.com/user/BarkleyThePom,1 comp / month,
BigNik,903K,2855,43109,"BigNik is a 15 yr old from San Diego.  He is an all around comedian that pulls pranks, acts silly and does funny impressions.  Living with dwarfasim he uses this to give people a good laugh and spread the humor.",Comedy,,,,
Bottlerocket,323K,2590,2941,This Massachusetts dad is known for his cute and funny father daughter dances on Saturday mornings.  ,Family,,https://www.youtube.com/user/Bottlerocketvines,,
Brandon Calvillo,2.6M,67.1K,127443,"Brandon is a nineteen-year-old from California.  His Vine videos run the gamut from sketch comedy to creepy videos inspired by horror films.  His parents often make a cameo in his Vines as well.  Though Vining takes up much of his free time, he also enjoys watching horror films from the '80s, cooking and working out.",Comedy,,http://www.youtube.com/user/BrandonCalvillo,"biweekly, best of the month, themes",https://vine.co/BrandonCalvillo
Brennan Tracy,1M,54K,38139,"A soccer playing college student, Brennan's vines depict awkward situations and characters.",Comedy,,http://www.youtube.com/user/MrBrennanTV,best vines all time,https://vine.co/BrennanTracy
Brittany Furlan,5.7M,137K,637887,"Brittany Furlan is a certified Vine Star.  With millions of followers, she is the most popular female on Vine.  She is a comedian and actress who hails from Philadelphia, Pennsylvania and has appeared on numerous national commercial and television shows.  She is known for her sketch comedy videos, hilarious observations on life, as well as her ""Where the Party's At"" series.",Comedy,,http://www.youtube.com/user/BrittanyFurlan,"daily, biweekly, best of the month, themes",
Brittlestar,312K,68K,4711,"Brittlestar is a popular dad viner.  He has established a worldwide following thanks to his books, music and vine.  His vines usually feature his wife and two talented sons.",Family/Comedy,,http://www.youtube.com/user/brittletube/videos,,
Bruce Devlin,69K,10.2K,n/a,Bruce is a master of splicing movie and tv clips together with music to create a dialogue between various forms of pop culture,"Music, Pop Culture, Comedy",,n/a,n/a,
Buster Beans,739K,9989,129974,Curtis Lepore's adorable Boston Terrier. Can seriously rock a pair of sunglasses.,Animals,,n/a,n/a,
Chad Perez,438K,3628,31019,Chad Perez is a singer & songwriter from San Diego.  Competed in 3 Minutes to Stardom.,Music,,https://www.youtube.com/user/TheChaaaadMusic/about,,
Charlie Classic,127K,3644,13281,"His offensive humor is genius. This Viner takes it there with his vulgar, obscene and racy videos.  ",Comedy,,http://www.youtube.com/user/Mrcharlieclassic/feed,,https://vine.co/CharlieClassic
